coord,k562
chr10:100006233-100006603,0
chr10:100008181-100008444,0
chr10:100014348-100014634,0
chr10:100020065-100020562,0
chr10:100043485-100043744,0
chr10:100114218-100114567,0
chr10:100148595-100148922,0
chr10:100182422-100182522,0
chr10:100184498-100184704,0
chr10:100184852-100185124,0
chr10:100228937-100229263,1
chr10:100247943-100248210,1
chr10:100270415-100270618,0
chr10:100307736-100308064,0
chr10:100327009-100327385,0
chr10:100370579-100370913,0
chr10:100371026-100371570,0
chr10:100375012-100375253,1
chr10:10047633-10047846,0
chr10:100485298-100485928,0
chr10:100491046-100491405,0
chr10:100491676-100491890,0
chr10:100504105-100504398,0
chr10:100519111-100519432,0
chr10:100525238-100525596,0
chr10:100728969-100729226,0
chr10:100729620-100729992,0
chr10:100730542-100731146,0
chr10:100741407-100741549,0
chr10:100756166-100756173,0
chr10:100858676-100859050,0
chr10:100873840-100874169,0
chr10:100970119-100970528,1
chr10:100997551-100997938,0
chr10:101033024-101033260,0
chr10:101046807-101046974,0
chr10:101073011-101073264,0
chr10:101141272-101141813,0
chr10:101291596-101292043,0
chr10:101319380-101319582,0
chr10:101330944-101331300,0
chr10:101365030-101365430,1
chr10:101478779-101478956,0
chr10:101693808-101694123,0
chr10:101779440-101779755,0
chr10:101815382-101815616,0
chr10:101831738-101831762,0
chr10:101840757-101840982,0
chr10:10187223-10187235,0
chr10:101902389-101902740,0
chr10:101903937-101904238,0
chr10:101906967-101907294,0
chr10:101939384-101939640,0
chr10:101973963-101974364,0
chr10:102113964-102114270,0
chr10:102117707-102118218,0
chr10:102133384-102133833,1
chr10:102343097-102343251,0
chr10:102408158-102408471,0
chr10:102436493-102436661,1
chr10:102453615-102453792,0
chr10:102461890-102461945,0
chr10:102504595-102504771,0
chr10:102504911-102505166,0
chr10:102569015-102569227,0
chr10:102604462-102604587,0
chr10:102610390-102610811,0
chr10:102612896-102613217,0
chr10:102613500-102613656,0
chr10:102627822-102628182,0
chr10:102628266-102628693,0
chr10:102646703-102647011,0
chr10:102668689-102668890,0
chr10:102679052-102679258,0
chr10:102710720-102711095,0
chr10:102712729-102713886,0
chr10:102773849-102774233,0
chr10:102785924-102786158,0
chr10:102795890-102796209,0
chr10:102796463-102796701,0
chr10:102801484-102801811,0
chr10:102803231-102803520,0
chr10:102819089-102819369,0
chr10:102923493-102923811,0
chr10:103009672-103009954,0
chr10:103020984-103021362,0
chr10:103132863-103133224,0
chr10:103170200-103170513,0
chr10:103194218-103194465,0
chr10:103197235-103197483,0
chr10:103204806-103205216,0
chr10:103231234-103231427,0
chr10:103240459-103240504,0
chr10:103241446-103241738,0
chr10:103241786-103242211,0
chr10:10332977-10333007,0
chr10:103448865-103449079,0
chr10:103471213-103471606,0
chr10:103492079-103492321,0
chr10:103495264-103495463,0
chr10:103502467-103502668,0
chr10:103542838-103543196,0
chr10:103547779-103547838,0
chr10:103588000-103588386,0
chr10:103618828-103619175,0
chr10:103620600-103620942,0
chr10:103649320-103649611,0
chr10:103667421-103667748,0
chr10:103671399-103671797,0
chr10:103691402-103691715,0
chr10:103696542-103696785,0
chr10:103706879-103707052,0
chr10:10371108-10371125,0
chr10:103747291-103747476,0
chr10:103759305-103759396,0
chr10:103761576-103761953,0
chr10:103770572-103770874,0
chr10:103772295-103772453,0
chr10:103850329-103850478,0
